#scalar perturbations for mode k = 1.000000000000e-01 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:V_x_smg               19:V_x_prime_smg         20:h_prime               21:eta                
       1.001034633248e-03       2.159782184962e-09      -1.202238489200e+00       3.008700372473e-06       1.119358259517e-17       2.798395648793e-17       5.856280053787e-30       5.596791297585e-18      -9.016788668997e-01       3.008700372473e-06       6.011208472982e-01       6.994403782021e-01      -1.202238489200e+00       3.008700371133e-06       4.015765468323e-10      -9.016788668997e-01       3.008700375259e-06       0.000000000000e+00       0.000000000000e+00       1.001031694985e-05       9.999999996669e-01 
       1.002067431002e-03       2.162010501766e-09      -1.202235514882e+00       3.011797082240e-06       1.122823686733e-17       2.807059216833e-17       5.886538432542e-30       5.614118433666e-18      -9.016766361615e-01       3.011797082240e-06       6.011215254979e-01       6.994411217825e-01      -1.202235514882e+00       3.011797080896e-06       4.024058801528e-10      -9.016766361615e-01       3.011797085035e-06       0.000000000000e+00       0.000000000000e+00       1.002063809611e-05       9.999999996662e-01 
       1.003100228756e-03       2.164238818578e-09      -1.202232598547e+00       3.014893923163e-06       1.126296308002e-17       2.815740770005e-17       5.916922011532e-30       5.631481540010e-18      -9.016744489103e-01       3.014893923163e-06       6.011221910167e-01       6.994418508673e-01      -1.202232598547e+00       3.014893921814e-06       4.032360631170e-10      -9.016744489103e-01       3.014893925966e-06       0.000000000000e+00       0.000000000000e+00       1.003095938073e-05       9.999999996655e-01 
       1.007561887712e-03       2.173865088310e-09      -1.202227610799e+00       3.028291190136e-06       1.141387384573e-17       2.853468461431e-17       6.049661342229e-30       5.706936922863e-18      -9.016707080994e-01       3.028291190136e-06       6.011233362721e-01       6.994430978087e-01      -1.202227610799e+00       3.028291188770e-06       4.068315513560e-10      -9.016707080994e-01       3.028291192977e-06       0.000000000000e+00       0.000000000000e+00       1.007556447697e-05       9.999999996626e-01 
       1.012023546668e-03       2.183491358200e-09      -1.202226495445e+00       3.041698143263e-06       1.156616348045e-17       2.891540870112e-17       6.184792035665e-30       5.783081740224e-18      -9.016698715840e-01       3.041698143263e-06       6.011236023863e-01       6.994433766517e-01      -1.202226495445e+00       3.041698141879e-06       4.104426309358e-10      -9.016698715840e-01       3.041698146143e-06       0.000000000000e+00       0.000000000000e+00       1.012017846410e-05       9.999999996596e-01 
       1.016485205624e-03       2.193117628248e-09      -1.202226495702e+00       3.055107903303e-06       1.171981251186e-17       2.929953127965e-17       6.322332544747e-30       5.859906255929e-18      -9.016698717763e-01       3.055107903303e-06       6.011236147622e-01       6.994433765921e-01      -1.202226495702e+00       3.055107901900e-06       4.140695576815e-10      -9.016698717763e-01       3.055107906220e-06       0.000000000000e+00       0.000000000000e+00       1.016479498379e-05       9.999999996566e-01 
       1.020946864580e-03       2.202743898454e-09      -1.202226703526e+00       3.068518196750e-06       1.187481837121e-17       2.968704592803e-17       6.462310323664e-30       5.937409185606e-18      -9.016700276448e-01       3.068518196750e-06       6.011235799728e-01       6.994433246405e-01      -1.202226703526e+00       3.068518195328e-06       4.177124220810e-10      -9.016700276448e-01       3.068518199706e-06       0.000000000000e+00       0.000000000000e+00       1.020941201857e-05       9.999999996535e-01 
       1.032299056925e-03       2.227236867369e-09      -1.202226199025e+00       3.102636537119e-06       1.227535257015e-17       3.068838142537e-17       6.829668244808e-30       6.137676285074e-18      -9.016696492686e-01       3.102636537119e-06       6.011237453649e-01       6.994434507776e-01      -1.202226199025e+00       3.102636535649e-06       4.270532352355e-10      -9.016696492686e-01       3.102636540175e-06       0.000000000000e+00       0.000000000000e+00       1.032293460584e-05       9.999999996458e-01 
       1.043651249271e-03       2.251729837305e-09      -1.202225628310e+00       3.136754674830e-06       1.268479279240e-17       3.171198198100e-17       7.213545281043e-30       6.342396396199e-18      -9.016692212329e-01       3.136754674830e-06       6.011239274967e-01       6.994435934680e-01      -1.202225628310e+00       3.136754673312e-06       4.364973315363e-10      -9.016692212329e-01       3.136754677988e-06       0.000000000000e+00       0.000000000000e+00       1.043645713807e-05       9.999999996379e-01 
       1.055003441616e-03       2.276222808262e-09      -1.202225134950e+00       3.170872984297e-06       1.310323847939e-17       3.275809619847e-17       7.614493257806e-30       6.551619239695e-18      -9.016688512125e-01       3.170872984297e-06       6.011240903244e-01       6.994437168201e-01      -1.202225134950e+00       3.170872982728e-06       4.460447128128e-10      -9.016688512125e-01       3.170872987558e-06       0.000000000000e+00       0.000000000000e+00       1.054997960332e-05       9.999999996300e-01 
       1.066355633962e-03       2.300715780240e-09      -1.202224687736e+00       3.204991384495e-06       1.353078728256e-17       3.382696820639e-17       8.033075129977e-30       6.765393641279e-18      -9.016685158018e-01       3.204991384495e-06       6.011242408081e-01       6.994438286357e-01      -1.202224687736e+00       3.204991382875e-06       4.556953785678e-10      -9.016685158018e-01       3.204991387863e-06       0.000000000000e+00       0.000000000000e+00       1.066350191823e-05       9.999999996220e-01 
       1.101386804784e-03       2.376297441673e-09      -1.202224978871e+00       3.310280113821e-06       1.490859107467e-17       3.727147768668e-17       9.442152779743e-30       7.454295537335e-18      -9.016687341532e-01       3.310280113821e-06       6.011242807109e-01       6.994437558899e-01      -1.202224978871e+00       3.310280112036e-06       4.861270485904e-10      -9.016687341532e-01       3.310280117532e-06       0.000000000000e+00       0.000000000000e+00       1.101381466149e-05       9.999999995968e-01 
